Observer_name_1,Observer_name_2,Date,Site,Zone,Depth,Water_Temp,Visibility,Current,Species,Size,Diver_1_count,Diver_2_count,Total,Survey_Status,Survey_ID
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Angelfish - Other,5-10,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Angelfish - Other,10-20,5,0,5,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bristletooth,5-10,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,0-5,4,0,4,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Butterflyfish,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Wrasse - Cleaner,0-5,6,0,6,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Wrasse - Cleaner,5-10,4,0,4,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Wrasse - Cleaner,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Grouper - Other,20-30,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Damselfish - Sergeantfish,10-20,2,0,2,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Soldierfish,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Surgeonfish - Other,10-20,4,0,4,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Angelfish - Other,5-10,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Angelfish - Other,10-20,7,0,7,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Angelfish - Other,20-30,3,0,3,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,0-5,3,0,3,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,5-10,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,20-30,2,0,2,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Butterflyfish,0-5,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Butterflyfish,5-10,4,0,4,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Butterflyfish,10-20,8,0,8,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Wrasse - Cleaner,0-5,8,0,8,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Wrasse - Cleaner,5-10,2,0,2,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Wrasse - Cleaner,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Wrasse - Floral,10-20,2,0,2,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Goatfish,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Grouper - Other,10-20,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Damselfish - Sergeantfish,10-20,6,0,6,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Soldierfish,20-30,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Surgeonfish - Other,5-10,2,0,2,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Sweetlips,20-30,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Angelfish - Other,5-10,1,0,1,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Angelfish - Other,10-20,9,0,9,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,0-5,6,0,6,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,5-10,3,0,3,1,676d3d7e028491f669f51369
Joan Li,Izzy Morgante,2017-09-01 00:00:00,Guinsuan MPA,1,Medium,29,14,1,Bream,10-20,1,0,1,1,676d3d7e028491f669f51369
