Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Autumn 2017,MASAPLOD NORTE MPA,20.6,48.2,31.0,181.0,256.0,269.33,185.33,40.72,90.66
Winter 17/18,MASAPLOD NORTE MPA,10.64,19.36,11.27,109.73,176.91,387.17,248.33,22.51,33.4
Spring 2018,MASAPLOD NORTE MPA,13.86,28.0,10.14,241.71,148.57,265.18,114.73,13.83,16.8
Summer 2018,MASAPLOD NORTE MPA,10.23,18.62,12.15,59.69,111.38,1174.14,162.0,16.55,14.9
Autumn 2018,MASAPLOD NORTE MPA,18.67,42.67,22.0,313.5,408.17,566.2,77.9,10.1,43.3
Winter 18/19,MASAPLOD NORTE MPA,17.43,31.14,22.14,252.0,378.0,665.08,201.33,23.06,23.95
Spring 2019,MASAPLOD NORTE MPA,15.22,37.44,11.33,100.0,317.44,169.0,11.5,0.69,20.45
Summer 2019,MASAPLOD NORTE MPA,24.73,45.09,21.27,189.45,251.91,179.22,80.33,15.69,22.97
Autumn 2019,MASAPLOD NORTE MPA,15.55,20.64,10.18,92.73,126.09,481.44,314.11,29.48,6.21
Winter 19/20,MASAPLOD NORTE MPA,22.38,33.75,13.5,96.88,269.88,594.6,44.33,13.23,19.05
Summer 2022,MASAPLOD NORTE MPA,10.36,16.91,13.18,130.0,701.91,617.33,50.22,12.98,15.89
Autumn 2022,MASAPLOD NORTE MPA,13.58,20.17,21.58,297.42,958.83,225.33,131.67,18.55,17.28
Winter 22/23,MASAPLOD NORTE MPA,9.0,8.33,9.33,77.33,356.67,511.71,356.71,18.61,3.47
