Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density,Commercial Density,Total Biomass Density,Commercial Biomass Density
Spring 2019,Salag MPA,30.0,36.5,9.25,58.0,153.88,178.1,126.5,9.25,8.84
Summer 2019,Salag MPA,40.67,29.33,12.83,40.5,224.5,368.38,244.75,13.15,11.23
Autumn 2019,Salag MPA,8.08,23.92,3.67,15.25,42.67,609.3,164.3,16.13,2.53
Winter 19/20,Salag MPA,22.33,31.17,14.83,25.83,97.67,432.53,59.71,8.62,7.71
Summer 2022,Salag MPA,17.25,22.25,5.12,108.88,1077.88,430.39,108.5,13.69,14.09
Autumn 2022,Salag MPA,12.56,10.22,5.33,77.89,545.44,374.5,202.83,18.75,6.93
Winter 22/23,Salag MPA,14.86,16.29,6.71,72.0,680.86,213.38,93.75,11.64,4.33
Spring 2023,Salag MPA,10.81,10.44,2.75,39.94,414.88,989.15,186.85,21.03,4.73
Summer 2023,Salag MPA,10.0,12.59,2.47,47.88,359.06,283.67,40.0,18.95,3.9
Autumn 2023,Salag MPA,9.25,24.75,3.75,51.83,326.92,432.0,34.94,10.34,2.34
Winter 23/24,Salag MPA,8.93,21.07,4.87,67.0,533.47,347.25,33.75,6.94,21.04
Spring 2024,Salag MPA,13.88,14.31,6.25,91.69,653.81,215.75,125.25,6.2,12.57
Summer 2024,Salag MPA,11.3,11.8,3.1,53.4,345.9,192.0,126.0,17.62,12.59
Autumn 2024,Salag MPA,12.6,19.0,4.3,71.0,350.5,300.57,167.43,8.16,6.27
Winter 24/25,Salag MPA,11.94,14.22,4.28,77.28,491.44,591.2,136.2,16.35,9.2
Spring 2025,Salag MPA,10.37,14.0,4.42,64.26,440.32,928.1,181.2,27.31,8.34
Summer 2025,Salag MPA,10.72,17.06,4.11,90.67,366.22,688.0,152.25,21.29,11.78
