Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Spring 2019,Dalakit MPA,1.0,0.67,19.67,17.0,77.67,116.0
Summer 2019,Dalakit MPA,0.25,0.0,5.5,12.5,63.75,82.0
Autumn 2019,Dalakit MPA,2.0,0.5,6.5,12.0,23.75,44.75
Winter 19/20,Dalakit MPA,0.0,0.4,3.0,8.4,28.6,40.4
Spring 2022,Dalakit MPA,2.5,1.0,22.0,21.5,58.5,105.5
Summer 2022,Dalakit MPA,1.0,3.0,11.0,15.0,50.0,80.0
Autumn 2022,Dalakit MPA,2.5,2.0,8.0,26.5,47.0,86.0
Winter 22/23,Dalakit MPA,2.4,0.4,11.2,11.2,50.4,75.6
Spring 2023,Dalakit MPA,0.75,0.5,12.5,12.75,63.0,89.5
Summer 2023,Dalakit MPA,0.6,0.0,10.6,13.6,57.4,82.2
Autumn 2023,Dalakit MPA,1.33,0.0,5.0,11.0,22.33,39.67
Winter 23/24,Dalakit MPA,0.75,0.5,8.5,9.5,54.0,73.25
Spring 2024,Dalakit MPA,1.0,0.0,7.5,13.0,46.5,68.0
Summer 2024,Dalakit MPA,2.0,1.0,9.5,17.5,72.0,102.0
Autumn 2024,Dalakit MPA,0.0,0.5,10.25,14.5,20.75,46.0
Winter 24/25,Dalakit MPA,0.25,0.75,7.5,7.75,14.75,31.0
Spring 2025,Dalakit MPA,1.2,2.4,7.0,10.6,32.8,54.0
Summer 2025,Dalakit MPA,1.5,2.67,11.33,10.17,21.5,47.17
