Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Summer 2017,Guinsuan MPA,1.5,9.0,1.0,35.0,23.5,70.0
Autumn 2017,Guinsuan MPA,1.53,4.12,0.94,15.06,6.06,27.71
Winter 17/18,Guinsuan MPA,2.0,6.71,2.43,12.86,2.0,26.0
Spring 2018,Guinsuan MPA,0.33,3.93,0.4,9.33,1.8,15.8
Summer 2018,Guinsuan MPA,1.32,10.18,0.59,9.27,3.64,25.0
Autumn 2018,Guinsuan MPA,0.77,7.27,0.91,6.82,2.64,18.41
Winter 18/19,Guinsuan MPA,1.62,3.69,1.69,12.23,1.85,21.08
Spring 2019,Guinsuan MPA,0.77,6.46,2.23,12.15,2.62,24.23
Summer 2019,Guinsuan MPA,1.17,5.92,1.0,12.58,3.33,24.0
Autumn 2019,Guinsuan MPA,0.75,4.81,2.81,12.69,21.81,42.88
Winter 19/20,Guinsuan MPA,0.73,2.27,0.81,6.81,2.69,13.31
Spring 2022,Guinsuan MPA,1.0,5.33,2.44,19.78,9.89,38.44
Summer 2022,Guinsuan MPA,1.0,7.69,1.69,26.0,7.38,43.77
Autumn 2022,Guinsuan MPA,0.38,4.85,1.62,16.15,1.38,24.38
Winter 22/23,Guinsuan MPA,0.85,2.92,3.38,19.46,2.77,29.38
Spring 2023,Guinsuan MPA,1.47,3.26,4.0,22.74,18.32,49.79
Summer 2023,Guinsuan MPA,1.28,5.0,3.17,23.89,32.61,65.94
Autumn 2023,Guinsuan MPA,1.25,8.75,0.5,25.5,0.75,36.75
Winter 23/24,Guinsuan MPA,0.6,3.5,3.1,19.1,2.2,28.5
Spring 2024,Guinsuan MPA,0.43,4.86,4.43,22.29,10.71,42.71
Summer 2024,Guinsuan MPA,0.4,11.2,4.0,20.0,3.2,38.8
Autumn 2024,Guinsuan MPA,0.75,1.92,3.83,14.0,3.33,23.83
Winter 24/25,Guinsuan MPA,1.0,1.25,2.25,13.83,4.25,22.58
Spring 2025,Guinsuan MPA,0.5,3.67,2.5,13.0,5.42,25.08
Summer 2025,Guinsuan MPA,0.79,4.36,2.0,15.07,2.71,24.93
