Period,Site,Corallivore Density,Detritivore Density,Omnivore Density,Carnivore Density,Herbivore Density,Total Density
Spring 2019,Salag MPA,0.14,1.14,3.86,6.07,22.29,33.5
Summer 2019,Salag MPA,0.0,0.43,2.71,3.71,11.14,18.0
Autumn 2019,Salag MPA,0.0,0.71,2.86,4.07,2.5,10.14
Winter 19/20,Salag MPA,0.14,0.45,1.27,2.59,3.36,7.82
Summer 2022,Salag MPA,0.0,3.0,1.0,10.0,0.0,14.0
Autumn 2022,Salag MPA,1.09,1.0,2.09,6.27,2.09,12.55
Winter 22/23,Salag MPA,0.25,1.0,3.17,5.67,3.5,13.58
Spring 2023,Salag MPA,0.53,0.88,3.53,5.59,3.94,14.47
Summer 2023,Salag MPA,0.5,1.07,2.71,5.43,4.43,14.14
Autumn 2023,Salag MPA,0.22,1.11,1.78,4.44,2.56,10.11
Winter 23/24,Salag MPA,0.23,1.38,1.85,5.77,3.31,12.54
Spring 2024,Salag MPA,0.5,2.0,2.8,7.9,6.7,19.9
Summer 2024,Salag MPA,0.8,0.6,3.2,7.0,5.8,17.4
Autumn 2024,Salag MPA,0.77,0.38,3.0,7.31,2.85,14.31
Winter 24/25,Salag MPA,0.33,0.67,1.5,6.0,3.67,12.17
Spring 2025,Salag MPA,0.17,2.89,1.89,7.11,16.17,28.22
Summer 2025,Salag MPA,0.17,1.33,2.83,7.17,7.5,19.0
